"";"MAETrain";"MAEValid"
"1";0,0328912203919654;0,028261438257554
"2";0,0242567264332491;0,0252047527537626
"3";0,0230733804141774;0,0233507178811466
"4";0,022268471811332;0,0222421174890855
"5";0,0216532897949219;0,021625680362477
"6";0,0211924938127106;0,0212914321001838
"7";0,0208502391740388;0,0210921590468463
"8";0,0205894963881549;0,0209449409036075
"9";0,0203826979094861;0,0208073761883904
"10";0,0202118578144148;0,020657496732824
"11";0,0200657788444968;0,0204838786405676
"12";0,0199375332103056;0,0202813451430377
"13";0,0198231311872894;0,0200505694221048
"14";0,0197201074338427;0,0197979265100816
"15";0,0196270766912722;0,0195342972699334
"16";0,0195429095099954;0,0192715678495519
"17";0,0194665033677045;0,0190192121617934
"18";0,0193969756481694;0,018782875958611
"19";0,0193331624947342;0,0185646797628964
"20";0,0192741977467256;0,0183646011352539
"21";0,0192191359576057;0,0181817122066722
"22";0,0191673727596507;0,0180146531497731
"23";0,0191183815750421;0,0178622301887063
"24";0,0190716014188879;0,0177233280855067
"25";0,0190269754447189;0,0175966801362879
"26";0,0189841236787684;0,017481424668256
"27";0,0189430670644723;0,0173765743480009
"28";0,0189036560058594;0,0172809623269474
"29";0,0188658755433326;0,0171940321080825
"30";0,0188295461617264;0,0171148805057301
"31";0,0187947516347848;0,0170428006789264
"32";0,0187613064635034;0,0169770846647375
"33";0,0187292061600031;0,0169171456729665
"34";0,0186983400232652;0,0168623856937184
"35";0,0186685420017616;0,0168121876436121
"36";0,0186399302763097;0,01676617566277
"37";0,0186122191186045;0,0167237775466021
"38";0,0185855506448185;0,0166846219231101
"39";0,0185597288842295;0,0166483755672679
"40";0,0185347119499655;0,0166146211063161
"41";0,0185104280359605;0,0165831161947811
"42";0,0184869474523208;0,0165536555121927
"43";0,0184641101313572;0,0165258979797363
"44";0,0184419430003447;0,0164998514512006
"45";0,0184203263825061;0,0164752556295956
"46";0,0183994068818934;0,0164519601709702
"47";0,0183789197136374;0,0164298192192526
"48";0,0183589965221929;0,0164088529698989
"49";0,0183396058924058;0,0163888729319853
"50";0,0183207194010417;0,0163698454464183
"51";0,0183022263470818;0,0163516448525821
"52";0,0182843346689262;0,0163342531989602
"53";0,018266788557464;0,0163175953135771
"54";0,0182496867460363;0,0163016094880946
"55";0,0182329843558517;0,0162862474778119
"56";0,0182166918586282;0,0162715216243968
"57";0,0182007987826478;0,0162573062672335
"58";0,0181853275673062;0,0162435026729808
"59";0,0181701121610754;0,0162302387461943
"60";0,0181553051518459;0,0162173899482278
"61";0,0181407629274854;0,0162048923268038
"62";0,0181265887092142;0,0161927425160128
"63";0,018112824383904;0,0161809674431296
"64";0,0180992276060815;0,0161694291058709
"65";0,0180860272575827;0,0161581746269675
"66";0,0180731425565832;0,016147107517018
"67";0,0180604373707491;0,016136365778306
"68";0,0180480418485754;0,016125727260814
