"";"MSETrain";"MSEValid"
"1";0,0528273758233762;0,0441731351964614
"2";0,0339819066664752;0,0250241447897518
"3";0,0249308672138289;0,0220746118882123
"4";0,0235723443124809;0,0214793822344612
"5";0,0230583983776616;0,0211146724925322
"6";0,0226910340552237;0,020826530456543
"7";0,0224021582509957;0,020592503267176
"8";0,0221701393875421;0,0204004601871266
"9";0,0219810052011527;0,0202407634959501
"10";0,0218240087172564;0,020105572868796
"11";0,0216912407968559;0,0199888094733743
"12";0,0215767729516123;0,0198858530381147
"13";0,0214761008468329;0,0197932523839614
"14";0,0213859408509498;0,0197084830789005
"15";0,0213038276223575;0,0196297365076402
"16";0,0212279929366766;0,0195556191837086
"17";0,0211570021685432;0,0194852223115809
"18";0,0210900190764782;0,0194178278305951
"19";0,0210261730119294;0,0193529420740464
"20";0,0209651528152765;0,0192902329388787
"21";0,0209064498602175;0,0192293974932502
"22";0,020849687164905;0,019170202367446
"23";0,0207947779636757;0,0191125578038833
"24";0,0207414888868145;0,0190563224343693
"25";0,0206897002575444;0,0190013144997989
"26";0,0206393118465648;0,0189475699032054
"27";0,0205901740579044;0,0188949046415441
"28";0,0205422255572151;0,0188434353996726
"29";0,0204954558727788;0,0187928457821117
"30";0,0204497213924632;0,0187433108161477
"31";0,0204050116445504;0,018694673426011
"32";0,0203613116694432;0,0186469134162454
"33";0,0203184240004596;0,0186000072254854
"34";0,0202764114679075;0,0185538628522088
"35";0,0202352665919884;0,0185085061017205
"36";0,0201948173373353;0,0184638595581055
"37";0,0201551085827397;0,0184199075137868
"38";0,0201160131716261;0,0183765725528493
"39";0,0200775296080346;0,0183339096518124
"40";0,0200396578919654;0,0182917886621812
"41";0,0200022977941176;0,0182502522188074
"42";0,0199653745165058;0,0182092341254739
"43";0,0199289972641889;0,0181687534556669
"44";0,01989294164321;0,0181287473790786
"45";0,0198573303222656;0,0180892215055578
"46";0,0198221288942823;0,0180501399320715
"47";0,0197871787875306;0,0180115587571088
"48";0,019752669988894;0,0179734151503619
"49";0,019718422983207;0,0179357506247128
"50";0,0196845020967371;0,0178985247892492
"51";0,0196508654426126;0,0178618262795841
"52";0,0196175534117456;0,0178255866555607
"53";0,0195845600202972;0,0177899147482479
"54";0,0195519495945351;0,0177547544591567
"55";0,0195196952071844;0,0177202056435978
"56";0,0194878791360294;0,0176862559599035
"57";0,0194564041436887;0,0176529659944422
"58";0,0194254392736098;0,0176203929676729
"59";0,0193949800379136;0,0175885424894445
"60";0,0193650548598346;0,0175574773900649
"61";0,0193355964211857;0,0175272548899931
